output_file,class,patch_id,dates,input_files,shape,temporal_samples,zone_id,crop_type,split
10000_class3.npy,3.0,10000,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10000_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10000_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10001_class3.npy,3.0,10001,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10001_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10001_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10002_class3.npy,3.0,10002,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10002_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10002_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10003_class3.npy,3.0,10003,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10003_class3_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10003_class3_img.tif']","[20, 64, 64]",2,4,-1,test
10004.npy,,10004,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10004_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10004_img.tif']","[20, 64, 64]",2,4,-1,test
10005.npy,,10005,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10005_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10005_img.tif']","[20, 64, 64]",2,4,-1,test
10006.npy,,10006,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10006_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10006_img.tif']","[20, 64, 64]",2,4,-1,test
10007.npy,,10007,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10007_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10007_img.tif']","[20, 64, 64]",2,4,-1,test
10008.npy,,10008,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10008_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10008_img.tif']","[20, 64, 64]",2,4,-1,test
10009.npy,,10009,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10009_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10009_img.tif']","[20, 64, 64]",2,4,-1,test
10010.npy,,10010,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10010_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10010_img.tif']","[20, 64, 64]",2,4,-1,test
10011.npy,,10011,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10011_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10011_img.tif']","[20, 64, 64]",2,4,-1,test
10012.npy,,10012,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10012_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10012_img.tif']","[20, 64, 64]",2,4,-1,test
10013.npy,,10013,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10013_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10013_img.tif']","[20, 64, 64]",2,4,-1,test
10014.npy,,10014,"['2023-06-28', '2023-07-07']","['data/processed/patches\\230628_reflectance_ortho\\patch\\10014_img.tif', 'data/processed/patches\\230707_reflectance_ortho\\patch\\10014_img.tif']","[20, 64, 64]",2,4,-1,test
