output_file,class,patch_id,dates,input_files
1000_class7.npy,7,1000,"['2023-06-07', '2023-06-13', '2023-06-15', '2023-06-28', '2023-07-07', '2023-07-11', '2023-08-11', '2023-08-23', '2023-09-04', '2023-09-08']","['patches_npy\\230607_reflectance_ortho\\patch\\1000_class7.tif', 'patches_npy\\230613_reflectance_ortho\\patch\\1000_class7.tif', 'patches_npy\\230615_reflectance_ortho\\patch\\1000_class7.tif', 'patches_npy\\230628_reflectance_ortho\\patch\\1000_class7.tif', 'patches_npy\\230707_reflectance_ortho\\patch\\1000_class7.tif', 'patches_npy\\230711_reflectance_ortho\\patch\\1000_class7.tif', 'patches_npy\\230811_reflectance_ortho\\patch\\1000_class7.tif', 'patches_npy\\230823_reflectance_ortho\\patch\\1000_class7.tif', 'patches_npy\\230904_reflectance_ortho\\patch\\1000_class7.tif', 'patches_npy\\230908_reflectance_ortho\\patch\\1000_class7.tif']"
1003_class6.npy,6,1003,"['2023-06-07', '2023-06-13', '2023-06-15', '2023-06-28', '2023-07-07', '2023-07-11', '2023-08-11', '2023-08-23', '2023-09-04', '2023-09-08']","['patches_npy\\230607_reflectance_ortho\\patch\\1003_class6.tif', 'patches_npy\\230613_reflectance_ortho\\patch\\1003_class6.tif', 'patches_npy\\230615_reflectance_ortho\\patch\\1003_class6.tif', 'patches_npy\\230628_reflectance_ortho\\patch\\1003_class6.tif', 'patches_npy\\230707_reflectance_ortho\\patch\\1003_class6.tif', 'patches_npy\\230711_reflectance_ortho\\patch\\1003_class6.tif', 'patches_npy\\230811_reflectance_ortho\\patch\\1003_class6.tif', 'patches_npy\\230823_reflectance_ortho\\patch\\1003_class6.tif', 'patches_npy\\230904_reflectance_ortho\\patch\\1003_class6.tif', 'patches_npy\\230908_reflectance_ortho\\patch\\1003_class6.tif']"
1004_class6.npy,6,1004,"['2023-06-07', '2023-06-13', '2023-06-15', '2023-06-28', '2023-07-07', '2023-07-11', '2023-08-11', '2023-08-23', '2023-09-04', '2023-09-08']","['patches_npy\\230607_reflectance_ortho\\patch\\1004_class6.tif', 'patches_npy\\230613_reflectance_ortho\\patch\\1004_class6.tif', 'patches_npy\\230615_reflectance_ortho\\patch\\1004_class6.tif', 'patches_npy\\230628_reflectance_ortho\\patch\\1004_class6.tif', 'patches_npy\\230707_reflectance_ortho\\patch\\1004_class6.tif', 'patches_npy\\230711_reflectance_ortho\\patch\\1004_class6.tif', 'patches_npy\\230811_reflectance_ortho\\patch\\1004_class6.tif', 'patches_npy\\230823_reflectance_ortho\\patch\\1004_class6.tif', 'patches_npy\\230904_reflectance_ortho\\patch\\1004_class6.tif', 'patches_npy\\230908_reflectance_ortho\\patch\\1004_class6.tif']"
1005_class6.npy,6,1005,"['2023-06-07', '2023-06-13', '2023-06-15', '2023-06-28', '2023-07-07', '2023-07-11', '2023-08-11', '2023-08-23', '2023-09-04', '2023-09-08']","['patches_npy\\230607_reflectance_ortho\\patch\\1005_class6.tif', 'patches_npy\\230613_reflectance_ortho\\patch\\1005_class6.tif', 'patches_npy\\230615_reflectance_ortho\\patch\\1005_class6.tif', 'patches_npy\\230628_reflectance_ortho\\patch\\1005_class6.tif', 'patches_npy\\230707_reflectance_ortho\\patch\\1005_class6.tif', 'patches_npy\\230711_reflectance_ortho\\patch\\1005_class6.tif', 'patches_npy\\230811_reflectance_ortho\\patch\\1005_class6.tif', 'patches_npy\\230823_reflectance_ortho\\patch\\1005_class6.tif', 'patches_npy\\230904_reflectance_ortho\\patch\\1005_class6.tif', 'patches_npy\\230908_reflectance_ortho\\patch\\1005_class6.tif']"
1006_class6.npy,6,1006,"['2023-06-07', '2023-06-13', '2023-06-15', '2023-06-28', '2023-07-07', '2023-07-11', '2023-08-11', '2023-08-23', '2023-09-04', '2023-09-08']","['patches_npy\\230607_reflectance_ortho\\patch\\1006_class6.tif', 'patches_npy\\230613_reflectance_ortho\\patch\\1006_class6.tif', 'patches_npy\\230615_reflectance_ortho\\patch\\1006_class6.tif', 'patches_npy\\230628_reflectance_ortho\\patch\\1006_class6.tif', 'patches_npy\\230707_reflectance_ortho\\patch\\1006_class6.tif', 'patches_npy\\230711_reflectance_ortho\\patch\\1006_class6.tif', 'patches_npy\\230811_reflectance_ortho\\patch\\1006_class6.tif', 'patches_npy\\230823_reflectance_ortho\\patch\\1006_class6.tif', 'patches_npy\\230904_reflectance_ortho\\patch\\1006_class6.tif', 'patches_npy\\230908_reflectance_ortho\\patch\\1006_class6.tif']"
1007_class6.npy,6,1007,"['2023-06-07', '2023-06-13', '2023-06-15', '2023-06-28', '2023-07-07', '2023-07-11', '2023-08-11', '2023-08-23', '2023-09-04', '2023-09-08']","['patches_npy\\230607_reflectance_ortho\\patch\\1007_class6.tif', 'patches_npy\\230613_reflectance_ortho\\patch\\1007_class6.tif', 'patches_npy\\230615_reflectance_ortho\\patch\\1007_class6.tif', 'patches_npy\\230628_reflectance_ortho\\patch\\1007_class6.tif', 'patches_npy\\230707_reflectance_ortho\\patch\\1007_class6.tif', 'patches_npy\\230711_reflectance_ortho\\patch\\1007_class6.tif', 'patches_npy\\230811_reflectance_ortho\\patch\\1007_class6.tif', 'patches_npy\\230823_reflectance_ortho\\patch\\1007_class6.tif', 'patches_npy\\230904_reflectance_ortho\\patch\\1007_class6.tif', 'patches_npy\\230908_reflectance_ortho\\patch\\1007_class6.tif']"
1008_class6.npy,6,1008,"['2023-06-07', '2023-06-13', '2023-06-15', '2023-06-28', '2023-07-07', '2023-07-11', '2023-08-11', '2023-08-23', '2023-09-04', '2023-09-08']","['patches_npy\\230607_reflectance_ortho\\patch\\1008_class6.tif', 'patches_npy\\230613_reflectance_ortho\\patch\\1008_class6.tif', 'patches_npy\\230615_reflectance_ortho\\patch\\1008_class6.tif', 'patches_npy\\230628_reflectance_ortho\\patch\\1008_class6.tif', 'patches_npy\\230707_reflectance_ortho\\patch\\1008_class6.tif', 'patches_npy\\230711_reflectance_ortho\\patch\\1008_class6.tif', 'patches_npy\\230811_reflectance_ortho\\patch\\1008_class6.tif', 'patches_npy\\230823_reflectance_ortho\\patch\\1008_class6.tif', 'patches_npy\\230904_reflectance_ortho\\patch\\1008_class6.tif', 'patches_npy\\230908_reflectance_ortho\\patch\\1008_class6.tif']"
1011_class6.npy,6,1011,"['2023-06-07', '2023-06-13', '2023-06-15', '2023-06-28', '2023-07-07', '2023-07-11', '2023-08-11', '2023-08-23', '2023-09-04', '2023-09-08']","['patches_npy\\230607_reflectance_ortho\\patch\\1011_class6.tif', 'patches_npy\\230613_reflectance_ortho\\patch\\1011_class6.tif', 'patches_npy\\230615_reflectance_ortho\\patch\\1011_class6.tif', 'patches_npy\\230628_reflectance_ortho\\patch\\1011_class6.tif', 'patches_npy\\230707_reflectance_ortho\\patch\\1011_class6.tif', 'patches_npy\\230711_reflectance_ortho\\patch\\1011_class6.tif', 'patches_npy\\230811_reflectance_ortho\\patch\\1011_class6.tif', 'patches_npy\\230823_reflectance_ortho\\patch\\1011_class6.tif', 'patches_npy\\230904_reflectance_ortho\\patch\\1011_class6.tif', 'patches_npy\\230908_reflectance_ortho\\patch\\1011_class6.tif']"
1012_class6.npy,6,1012,"['2023-06-07', '2023-06-13', '2023-06-15', '2023-06-28', '2023-07-07', '2023-07-11', '2023-08-11', '2023-08-23', '2023-09-04', '2023-09-08']","['patches_npy\\230607_reflectance_ortho\\patch\\1012_class6.tif', 'patches_npy\\230613_reflectance_ortho\\patch\\1012_class6.tif', 'patches_npy\\230615_reflectance_ortho\\patch\\1012_class6.tif', 'patches_npy\\230628_reflectance_ortho\\patch\\1012_class6.tif', 'patches_npy\\230707_reflectance_ortho\\patch\\1012_class6.tif', 'patches_npy\\230711_reflectance_ortho\\patch\\1012_class6.tif', 'patches_npy\\230811_reflectance_ortho\\patch\\1012_class6.tif', 'patches_npy\\230823_reflectance_ortho\\patch\\1012_class6.tif', 'patches_npy\\230904_reflectance_ortho\\patch\\1012_class6.tif', 'patches_npy\\230908_reflectance_ortho\\patch\\1012_class6.tif']"
1013_class6.npy,6,1013,"['2023-06-07', '2023-06-13', '2023-06-15', '2023-06-28', '2023-07-07', '2023-07-11', '2023-08-11', '2023-08-23', '2023-09-04', '2023-09-08']","['patches_npy\\230607_reflectance_ortho\\patch\\1013_class6.tif', 'patches_npy\\230613_reflectance_ortho\\patch\\1013_class6.tif', 'patches_npy\\230615_reflectance_ortho\\patch\\1013_class6.tif', 'patches_npy\\230628_reflectance_ortho\\patch\\1013_class6.tif', 'patches_npy\\230707_reflectance_ortho\\patch\\1013_class6.tif', 'patches_npy\\230711_reflectance_ortho\\patch\\1013_class6.tif', 'patches_npy\\230811_reflectance_ortho\\patch\\1013_class6.tif', 'patches_npy\\230823_reflectance_ortho\\patch\\1013_class6.tif', 'patches_npy\\230904_reflectance_ortho\\patch\\1013_class6.tif', 'patches_npy\\230908_reflectance_ortho\\patch\\1013_class6.tif']"
